N;Métier;Secteur(s) activité;Domaine;Niveau;Diplômes;Salaire;Descriptif;ONISEP;Communication;Esprit critique;Éthique;Intel. émotionnelle;Intel. sociale;Mgmt de projet;Mgmt d'équipe;Organisation;E/I;S/N;T/F;J/P;Aider;Communiquer;Concevoir;Conseiller;Diriger;Manipuler;Preparer;Analyser;Saisir;Code ROME;Eco;Num
54;directeur de production;"Industrie ; Agroalimentaire ; Cinéma - audiovisuel";Production et fabrication;Directeur;Bac+5 (école de commerce ou d'ingénieurs);4 500€ → 10 000€/mois;Le directeur du domaine production dirige une entité ou un département, fixe les orientations stratégiques et pilote les équipes.;ONISEP;Nécessaire;Nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;E;N;F;J;;V;;V;V;;;V;;H2507;;
55;élagueur;Agriculture;Production et fabrication;Opérationnel;CAP Arboriste-élagueur à Bac Pro;1 700€ → 2 800€/mois;L'élagueur taille et abat les arbres pour des raisons de sécurité ou d'entretien. Il travaille en hauteur avec des équipements spécialisés dans des espaces publics ou privés.;ONISEP;Nécessaire;Peu nécessaire;Absolument nécessaire;Peu nécessaire;Nécessaire;Peu nécessaire;Nécessaire;Absolument nécessaire;E;S;F;J;V;;;;;V;V;V;;A1209;;
56;Horticulteur;Agriculture;Production et fabrication;Opérationnel;CAP Horticulteur à BTS Horticulture;1 600€ → 2 500€/mois;L'horticulteur cultive des plantes ornementales, des fleurs ou des légumes. Il gère une exploitation horticole, de la production à la commercialisation.;ONISEP;Nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;Nécessaire;Nécessaire;E;N;T;J;;;;;;V;V;V;;A1414;;
57;Ingénieur agronome;Agriculture;Conseil - consulting;Manager;Bac+5 (école d'ingénieurs agronomes);2 800€ → 5 000€/mois;L'ingénieur agronome conçoit et améliore les systèmes de production agricole. Il travaille sur la durabilité, le rendement et la qualité des productions alimentaires.;ONISEP;Nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Absolument nécessaire;E;S;T;J;;;V;V;V;;;V;;C1106;;
58;Jardin paysagiste;Agriculture;Conception graphique et esthétique;Opérationnel;BPREA à Bac+5 (ingénieur agronome);1 500€ → 3 500€/mois;Le jardinier paysagiste conçoit, crée et entretient des espaces verts : jardins privés, parcs publics, espaces de vie collectifs. Il réalise des plantations, des aménagements paysagers et intervient sur la taille, le gazon et les massifs.;ONISEP;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Nécessaire;E;N;F;J;;;;;;V;V;V;;B1101;;
59;Juriste agricole;"Droit - justice ; Agriculture";Juridique;Opérationnel;BPREA à Bac+5 (ingénieur agronome);1 500€ → 3 500€/mois;Le juriste agricole conseille les exploitants agricoles et les coopératives sur les aspects juridiques de leur activité : baux ruraux, droit foncier, réglementation environnementale, aides PAC et contentieux. Il rédige les contrats et accompagne les mutations d'exploitations.;ONISEP;Nécessaire;Absolument nécessaire;Absolument nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;Absolument nécessaire;I;N;T;J;;;;;;V;V;V;;A1101;;
60;Maitre chaï;Agriculture;Production et fabrication;Entrepreneur - Profession libérale;BTSA Viticulture-Œnologie à Bac+5;2 500€ → 4 500€/mois;Le maître de chai supervise toutes les opérations de vinification dans un chai. Il veille à la qualité des vins, gère les chais et assure le suivi de l'élevage.;ONISEP;Nécessaire;Nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Absolument nécessaire;E;S;F;J;;;;;;V;V;V;;;;
61;maraîcher;Agriculture;Production et fabrication;Opérationnel;BPREA ou Bac Pro agricole;1 400€ → 2 500€/mois;Le maraîcher cultive des légumes et des plantes potagères pour la vente directe ou en circuit court. Il gère son exploitation de la préparation du sol à la récolte.;ONISEP;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Absolument nécessaire;E;S;F;J;;;;;V;V;V;V;;A1433;;
62;Oenologue;"Métiers du vin ; Agriculture ; Agroalimentaire";Cuisine et gastronomie;Opérationnel;Diplôme national d'œnologue (Bac+5);2 200€ → 4 000€/mois;L'œnologue analyse, élabore et améliore les vins. Expert en dégustation et en techniques de vinification, il conseille les vignerons et les caves.;ONISEP;Nécessaire;Nécessaire;Absolument nécessaire;Peu nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;E;N;F;J;;V;;V;;V;;V;;J1112;;
63;Ouvrier Sylviculteur;Agriculture;Production et fabrication;Opérationnel;BPREA à Bac+5 (ingénieur agronome);1 500€ → 3 500€/mois;L'ouvrier sylviculteur réalise les travaux manuels en forêt : plantation de jeunes arbres, dégagement, élagage et entretien des peuplements forestiers. Il participe à la régénération et à l'aménagement durable des massifs boisés.;ONISEP;Nécessaire;Peu nécessaire;Absolument nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;Nécessaire;E;S;T;J;;;;;;V;V;V;;A1210;;
64;Pépinieriste;Agriculture;Production et fabrication;Opérationnel;BPREA à Bac+5 (ingénieur agronome);1 500€ → 3 500€/mois;Le pépiniériste produit et élève des végétaux (arbres, arbustes, plantes vivaces) destinés à la vente. Il gère les semis, le bouturage, le greffage, l'arrosage et la commercialisation de ses plants auprès des professionnels et des particuliers.;ONISEP;Nécessaire;Nécessaire;Absolument nécessaire;Peu nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;E;N;F;J;;;;;;V;V;V;;A1441;;
65;reboiseur;Agriculture;Production et fabrication;Opérationnel;BPREA à Bac+5 (ingénieur agronome);1 500€ → 3 500€/mois;Le reboiseur plante et régénère les massifs forestiers après coupe ou incendie. Il prépare les sols, sélectionne les essences adaptées, réalise les plantations et assure l'entretien des jeunes peuplements pour garantir la reconstitution de la forêt.;ONISEP;Nécessaire;Peu nécessaire;Absolument nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;Nécessaire;E;S;T;J;;;;;;V;V;V;;F1701;;
66;Responsable d'élevage;"Agriculture ; Animalier ; Commerce";Production et fabrication;Manager;Bac+3 à Bac+5;2 800€ → 5 500€/mois;Le responsable d'élevage supervise la conduite d'un troupeau (bovins, ovins, porcins, volailles...). Il gère l'alimentation, la reproduction, la santé animale et le bien-être des animaux, tout en assurant le suivi économique et réglementaire de l'atelier d'élevage.;ONISEP;Nécessaire;Nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Absolument nécessaire;E;S;F;J;;V;;;V;;;V;;G1503;;
67;Technico commercial en agroéquipement;"Agriculture ; Commerce";Commercial;Opérationnel;BPREA à Bac+5 (ingénieur agronome);1 500€ → 3 500€/mois;Le technico-commercial en agroéquipement vend du matériel agricole (tracteurs, moissonneuses, systèmes d'irrigation) et conseille les agriculteurs sur le choix et l'utilisation des équipements. Il assure le suivi technique après-vente et développe son secteur commercial.;ONISEP;Absolument nécessaire;Peu nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;E;S;F;J;;V;;V;;;;V;V;D1113;;
68;vigneron;"Métiers du vin ; Agriculture";Production et fabrication;Directeur;BTSA Viticulture-Œnologie à Bac+5;1 500€ → 3 500€/mois;Le vigneron cultive la vigne, élabore et commercialise ses propres vins. Il gère l'ensemble du processus de la vigne à la bouteille : taille, vendange, vinification et mise en marché.;ONISEP;Nécessaire;Peu nécessaire;Absolument nécessaire;Peu nécessaire;Nécessaire;Peu nécessaire;Nécessaire;Absolument nécessaire;E;S;F;J;;;V;;V;V;;V;;A1302;;
69;Animateur logistique;Agroalimentaire;Logistique;Opérationnel;Bac Pro Logistique ou BTS Logistique;1 700€ → 4 500€/mois;L'animateur logistique coordonne les flux de marchandises entre les fournisseurs, l'entrepôt et les sites de distribution. Il planifie les réceptions et les expéditions, optimise les tournées, résout les litiges de livraison et anime les réunions de suivi avec les équipes logistiques.;ONISEP;Nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Nécessaire;Nécessaire;Nécessaire;Absolument nécessaire;E;S;F;J;;V;V;V;V;;;;;N1301;;
70;Boucher;Agroalimentaire;Commercial;Entrepreneur - Profession libérale;CAP Boucherie ou Bac Pro Boucher-charcutier-traiteur;1 700€ → 4 500€/mois;Le boucher désosser, découpe et prépare les viandes pour la vente en boucherie ou en grande surface. Il conseille les clients sur le choix des morceaux et les modes de cuisson, réalise des préparations (marinades, farces) et veille à l'hygiène et à la traçabilité des produits.;ONISEP;Nécessaire;Peu nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;I;S;T;J;;;;;;V;V;V;;D1101;;
71;Brasseur;Agroalimentaire;Production et fabrication;Opérationnel;CAP à Bac+5 (brasserie, agroalimentaire);1 800€ → 3 500€/mois;Le brasseur fabrique de la bière artisanale ou industrielle en gérant les recettes, la fermentation et le contrôle qualité.;ONISEP;Nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Nécessaire;E;N;F;J;;;V;;;V;V;V;;A1413;;
72;Charcutier traiteur;Agroalimentaire;Commercial;Entrepreneur - Profession libérale;CAP Charcutier-traiteur ou Bac Pro Boucher-charcutier-traiteur;1 700€ → 4 500€/mois;Le charcutier-traiteur fabrique des charcuteries (jambons, pâtés, saucissons, rillettes) et des plats cuisinés à base de viande de porc ou d'autres animaux. Il vend ses produits en boutique ou en grandes surfaces et peut proposer des plateaux repas pour des événements.;ONISEP;Nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;Absolument nécessaire;I;S;T;J;;;;;;V;V;V;;D1103;;
73;Chef ou cheffe de rayon;Agroalimentaire;Commercial;Manager;Bac+2 (BTS MCO) à Bac+3;2 200€ → 3 800€/mois;Le chef de rayon gère un secteur en grande surface : approvisionnement, mise en rayon, animation commerciale et management d'une équipe.;ONISEP;Nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Nécessaire;Nécessaire;Nécessaire;Absolument nécessaire;E;S;F;J;;V;;;V;;V;V;;D1507;;
74;Conducteur de ligne de fabrication;Agroalimentaire;Production et fabrication;Opérationnel;Bac Pro ou BTS industriel;1 800€ → 2 800€/mois;Le conducteur de ligne de fabrication pilote des machines automatisées dans une usine. Il surveille la production, effectue les réglages et assure la maintenance de premier niveau.;ONISEP;Nécessaire;Peu nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;Absolument nécessaire;I;S;T;J;;;;;;V;V;V;V;H2507;;
75;Conducteur de machine de fabrication;Agroalimentaire;Production et fabrication;Opérationnel;CAP Conducteur d'installations de production ou Bac Pro Pilote de ligne de production;1 700€ → 4 500€/mois;Le conducteur de machine de fabrication pilote les équipements industriels de transformation alimentaire (mélangeurs, extrudeuses, fours). Il règle les paramètres de production, surveille le bon déroulement des cycles, effectue les contrôles qualité en cours de ligne et réalise la maintenance de premier niveau.;ONISEP;Nécessaire;Peu nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;I;S;T;J;;V;;;;V;V;V;;H3302;;
76;Designer packaging;"Agroalimentaire ; Communication";Conception graphique et esthétique;Opérationnel;BTS Design graphique ou Licence Design de produits + spécialisation packaging;1 700€ → 4 500€/mois;Le designer packaging conçoit les emballages des produits alimentaires en alliant attractivité visuelle, fonctionnalité et respect des contraintes réglementaires (étiquetage). Il travaille sur la forme, les matériaux, les couleurs et les typographies pour rendre les produits désirables en rayon.;ONISEP;Nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Nécessaire;E;N;F;J;;V;V;;;V;;V;;H1204;;
77;Fromager;Agroalimentaire;Production et fabrication;Entrepreneur - Profession libérale;CAP Fromager à BTS;1 700€ → 2 800€/mois;Le fromager affine et commercialise des fromages. Il conseille les clients et gère la conservation des produits.;ONISEP;Nécessaire;Peu nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;E;S;F;J;;;;V;;V;V;V;;A1412;;
78;Gestionnaire de stock;"Agroalimentaire ; Commerce ; Transport - logistique - approvisionnement";Achats et approvisionnement;Opérationnel;BTS Logistique ou Licence pro Gestion des stocks et approvisionnement;1 700€ → 4 500€/mois;Le gestionnaire de stock supervise les entrées et sorties des marchandises dans un entrepôt ou une réserve. Il utilise des logiciels de gestion des stocks, optimise le rangement, réalise des inventaires réguliers et veille à éviter les ruptures et les surstocks.;ONISEP;Nécessaire;Peu nécessaire;Nécessaire;Peu nécessaire;Nécessaire;Peu nécessaire;Nécessaire;Absolument nécessaire;E;S;F;J;;V;;;V;;;V;V;M1212;;
79;Ingénieur nutritionniste;Agroalimentaire;Cuisine et gastronomie;Opérationnel;Bac+5 (école d'ingénieurs);3 000€ → 6 000€/mois;L'ingénieur spécialisé en conception gastronomique conçoit, développe et optimise des solutions techniques dans son domaine d'expertise. Il gère des projets et coordonne des équipes.;ONISEP;Nécessaire;Absolument nécessaire;Nécessaire;Peu nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Nécessaire;E;N;T;J;;V;V;;;;;V;;;;
80;Livreur alimentaire;Agroalimentaire;Transport;Entrepreneur - Profession libérale;Permis B (et permis C selon la catégorie);1 600€ → 2 200€/mois;Le livreur assure la livraison de colis, repas ou marchandises à domicile ou en point de collecte. Il optimise ses tournées et veille à la satisfaction des destinataires.;ONISEP;Nécessaire;Peu nécessaire;Nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Absolument nécessaire;E;S;F;J;;V;;;;V;V;;V;N4105;;
81;Opérateur de fabrication;Agroalimentaire;Production et fabrication;Opérationnel;CAP à Bac+2 selon spécialité;1 600€ → 2 800€/mois;L'agent ou opérateur spécialisé en production réalise des opérations techniques ou administratives spécifiques à son secteur d'activité.;ONISEP;Nécessaire;Peu nécessaire;Absolument nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;Absolument nécessaire;I;S;T;J;;;;;;V;;V;V;H2507;;
82;poissonnière;Agroalimentaire;Commercial;Entrepreneur - Profession libérale;CAP Poissonnier ou Bac Pro Poissonnier-écailler-traiteur;1 700€ → 4 500€/mois;Le poissonnier sélectionne, prépare et vend des poissons, crustacés et coquillages en poissonnerie ou en grande surface. Il réalise les filetages et les préparations, conseille les clients sur la fraîcheur et les modes de cuisson et veille scrupuleusement aux règles d'hygiène.;ONISEP;Nécessaire;Peu nécessaire;Nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;E;S;F;J;;;;;;V;V;V;;D1105;;
83;Responsable commercial agroalimentaire;"Commerce ; Agroalimentaire";Commercial;Manager;Bac+3 à Bac+5;2 800€ → 5 500€/mois;Le responsable commercial agroalimentaire développe les ventes de produits alimentaires auprès de la grande distribution, des grossistes ou des restaurateurs. Il gère son portefeuille clients, négocie les référencements, coordonne les équipes terrain et analyse les performances commerciales.;ONISEP;Absolument nécessaire;Nécessaire;Nécessaire;Nécessaire;Absolument nécessaire;Nécessaire;Absolument nécessaire;Nécessaire;E;N;F;J;;V;;;V;;;V;;M1707;;
