Métier;Secteur d'activité;Domaine d'activité;Fiche Métier;Niveau hiérarchique;Diplômes requis;Salaire (moyenne);Type MBTI;Communication;Esprit critique;Éthique;Intel. émotionnelle;Intel. sociale;Mgmt de projet;Mgmt d'équipe;Organisation;E/I;S/N;T/F;J/P;Descriptif;Diplomes requis;Salaire;Cap_Aider;Cap_Communiquer;Cap_Concevoir;Cap_Conseiller;Cap_Diriger;Cap_Manipuler;Cap_Preparer;Cap_Analyser;Cap_Saisir;code_rome;transition_eco;transition_num
Agent de location;"Commerce ; Automobile ; Voyages - tourisme ; Immobilier";Commercial;→ Fiche métier;Opérationnel;;;ENTJ;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;E;N;T;J;L'agent de location accueille les clients, gère les réservations et établit les contrats pour la location de véhicules, de matériels ou de biens immobiliers. Il assure le suivi du parc et la satisfaction client.;CQP Agent de location + Bac ou BTS Tourisme;1 700€ → 2 500€/mois;;;;;;Oui;Oui;Oui;;;;
Conseiller en agrodéveloppement international;Agriculture;Gestion de projet;→ Fiche métier;Opérationnel;;;ENTJ;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Nécessaire;E;N;T;J;Ce conseiller accompagne des projets agricoles dans les pays en développement. Il apporte son expertise en agronomie pour améliorer les systèmes de production locaux.;Bac+5 (ingénieur agronome, développement international);2 500€ → 4 500€/mois;;;;;;Oui;Oui;Oui;;;;
conseiller viticole;Vin;Conseil - consulting;→ Fiche métier;Opérationnel;;;ENFJ;Absolument nécessaire;Nécessaire;Absolument nécessaire;Nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Nécessaire;E;N;F;J;Le conseiller viticole accompagne les viticulteurs dans la conduite de leur vignoble, le choix des cépages, la lutte antiparasitaire et l'amélioration qualitative des raisins.;BTSA Viticulture-Œnologie à Bac+5;2 200€ → 3 800€/mois;;;;;;Oui;Oui;Oui;;K1903;;
directeur de production;"Industrie ; Agroalimentaire ; Cinéma - audiovisuel ; Automobile ; Aéronautique et transport aérien ; Énergie ; Chimie - biologie - science";Production;→ Fiche métier;Directeur;;;ENFJ;Nécessaire;Nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;E;N;F;J;Le directeur du domaine production dirige une entité ou un département, fixe les orientations stratégiques et pilote les équipes.;Bac+5 (école de commerce ou d'ingénieurs);4 500€ → 10 000€/mois;;Oui;;Oui;Oui;;;Oui;;H2507;;
élagueur;Agriculture;Production;→ Fiche métier;Opérationnel;;;ESFJ;Nécessaire;Peu nécessaire;Absolument nécessaire;Peu nécessaire;Nécessaire;Peu nécessaire;Nécessaire;Absolument nécessaire;E;S;F;J;L'élagueur taille et abat les arbres pour des raisons de sécurité ou d'entretien. Il travaille en hauteur avec des équipements spécialisés dans des espaces publics ou privés.;CAP Arboriste-élagueur à Bac Pro;1 700€ → 2 800€/mois;Oui;;;;;Oui;Oui;Oui;;A1209;;
Horticulteur;Agriculture;Production;→ Fiche métier;Opérationnel;;;ENTJ;Nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;Nécessaire;Nécessaire;E;N;T;J;L'horticulteur cultive des plantes ornementales, des fleurs ou des légumes. Il gère une exploitation horticole, de la production à la commercialisation.;CAP Horticulteur à BTS Horticulture;1 600€ → 2 500€/mois;;;;;;Oui;Oui;Oui;;A1414;;
Ingénieur agronome;Agriculture;Conseil - consulting;→ Fiche métier;Manager - Responsable - Chef d'équipe;;;ESTJ;Nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Absolument nécessaire;E;S;T;J;L'ingénieur agronome conçoit et améliore les systèmes de production agricole. Il travaille sur la durabilité, le rendement et la qualité des productions alimentaires.;Bac+5 (école d'ingénieurs agronomes);2 800€ → 5 000€/mois;;;Oui;Oui;Oui;;;Oui;;C1106;;
Jardin paysagiste;Agriculture;Conception esthétique;→ Fiche métier;Opérationnel;;;ENFJ;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Nécessaire;E;N;F;J;Le jardinier paysagiste crée et entretient des jardins, parcs et espaces verts. Il réalise les plantations, tailles et installations d'arrosage selon les plans paysagers.;CAP Jardinier paysagiste à Bac Pro;1 600€ → 2 500€/mois;;;;;;Oui;Oui;Oui;;B1101;;
Juriste agricole;"Droit - justice ; Commerce ; Banque - finance ; Industrie ; Administration ; Informatique - numérique - digital ; Médical - santé - Pharmaceutique ; Assurance ; Immobilier ; Agroalimentaire";Juridique;→ Fiche métier;Opérationnel;;;INTJ;Nécessaire;Absolument nécessaire;Absolument nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;Absolument nécessaire;I;N;T;J;Le juriste agricole conseille les exploitants sur les aspects juridiques de leur activité : droit foncier, réglementation européenne, contrats d'exploitation et contentieux.;Bac+5 (Master droit rural, droit agricole);2 500€ → 4 500€/mois;;;;;;Oui;Oui;Oui;;A1101;;
Maitre chaï;Agriculture;Production;→ Fiche métier;Entrepreneur - Profession libérale;;;ESFJ;Nécessaire;Nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Absolument nécessaire;E;S;F;J;Le maître de chai supervise toutes les opérations de vinification dans un chai. Il veille à la qualité des vins, gère les chais et assure le suivi de l'élevage.;BTSA Viticulture-Œnologie à Bac+5;2 500€ → 4 500€/mois;;;;;;Oui;Oui;Oui;;;;
maraîcher;Agriculture;Production;→ Fiche métier;Opérationnel;;;ESFJ;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Absolument nécessaire;E;S;F;J;Le maraîcher cultive des légumes et des plantes potagères pour la vente directe ou en circuit court. Il gère son exploitation de la préparation du sol à la récolte.;BPREA ou Bac Pro agricole;1 400€ → 2 500€/mois;;;;;Oui;Oui;Oui;Oui;;A1433;;
Oenologue;Vin;Conception gastronomique;→ Fiche métier;Opérationnel;;;ENFJ;Nécessaire;Nécessaire;Absolument nécessaire;Peu nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;E;N;F;J;L'œnologue analyse, élabore et améliore les vins. Expert en dégustation et en techniques de vinification, il conseille les vignerons et les caves.;Bac+5 (Diplôme national d'œnologue);2 200€ → 4 000€/mois;;Oui;;Oui;;Oui;;Oui;;J1112;;
Ouvrier Sylviculteur;Agriculture;Production;→ Fiche métier;Opérationnel;;;ESTJ;Nécessaire;Peu nécessaire;Absolument nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;Nécessaire;E;S;T;J;L'ouvrier sylviculteur réalise les travaux forestiers : plantation, élagage, dégagement, entretien des forêts sous la conduite d'un responsable forestier.;CAP Travaux forestiers à Bac Pro;1 550€ → 2 000€/mois;;;;;;Oui;Oui;Oui;;A1210;;
Pépinieriste;Agriculture;Production;→ Fiche métier;Opérationnel;;;ENFJ;Nécessaire;Nécessaire;Absolument nécessaire;Peu nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;E;N;F;J;Le pépiniériste produit et vend des végétaux (arbres, arbustes, plantes). Il multiplie les plants par bouturage, greffage ou semis, et conseille les professionnels et particuliers.;BTSA Horticulture à Bac+5 ingénieur;1 600€ → 2 800€/mois;;;;;;Oui;Oui;Oui;;A1441;;
reboiseur;"Agriculture ; Environnement";Production;→ Fiche métier;Opérationnel;;;ESTJ;Nécessaire;Peu nécessaire;Absolument nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;Nécessaire;E;S;T;J;Le reboiseur plante et entretient de jeunes arbres pour régénérer les espaces forestiers après coupe ou incendie. Il travaille en milieu naturel pour le compte de l'ONF ou de propriétaires forestiers.;CAP Travaux forestiers à Bac Pro Forêt;1 600€ → 2 200€/mois;;;;;;Oui;Oui;Oui;;F1701;;
Responsable d'élevage;"Agriculture ; Agroalimentaire";Production;→ Fiche métier;Manager - Responsable - Chef d'équipe;;;ESFJ;Nécessaire;Nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Absolument nécessaire;E;S;F;J;Le responsable d'élevage dirige une exploitation d'élevage. Il manage les équipes, optimise la production animale, assure le suivi sanitaire du cheptel et gère les relations commerciales.;BTSA Productions animales à Bac+5 ingénieur agronome;2 500€ → 4 000€/mois;;Oui;;;Oui;;;Oui;;G1503;;
Technico commercial en agroéquipement;"Agriculture ; Commerce ; Industrie";Commercial;→ Fiche métier;Opérationnel;BTSA technico-commercial spécialité bois, matériaux dérivés et associés;;ESFJ;Absolument nécessaire;Peu nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;E;S;F;J;Le technico-commercial en agroéquipement vend et conseille les agriculteurs sur le matériel agricole (tracteurs, outils, équipements d'élevage). Il assure le service après-vente et le suivi technique.;Bac+2 à Bac+3 (agroéquipement, commerce);2 500€ → 4 000€/mois;;Oui;;Oui;;;;Oui;Oui;D1113;;
vigneron;Vin;Production;→ Fiche métier;Directeur;;;ESFJ;Nécessaire;Peu nécessaire;Absolument nécessaire;Peu nécessaire;Nécessaire;Peu nécessaire;Nécessaire;Absolument nécessaire;E;S;F;J;Le vigneron cultive la vigne, élabore et commercialise ses propres vins. Il gère l'ensemble du processus de la vigne à la bouteille : taille, vendange, vinification et mise en marché.;BTSA Viticulture-Œnologie à Bac+5;1 500€ → 3 500€/mois;;;Oui;;Oui;Oui;;Oui;;A1302;;
Animateur logistique;Agroalimentaire;Logistique;→ Fiche métier;Manager - Responsable - Chef d'équipe;;;ESFJ;Nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Nécessaire;Nécessaire;Nécessaire;Absolument nécessaire;E;S;F;J;Ce professionnel de l'agroalimentaire intervient dans la production, le contrôle qualité ou la commercialisation de produits alimentaires.;CAP à Bac+5 selon le poste;1 700€ → 4 500€/mois;;Oui;Oui;Oui;Oui;;;;;N1301;;
Boucher;Agroalimentaire;Distribution;→ Fiche métier;Entrepreneur - Profession libérale;CAP Boucher (2 ans);;ISTJ;Nécessaire;Peu nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;I;S;T;J;Ce professionnel de l'agroalimentaire intervient dans la production, le contrôle qualité ou la commercialisation de produits alimentaires.;CAP à Bac+5 selon le poste;1 700€ → 4 500€/mois;;;;;;Oui;Oui;Oui;;D1101;;
Brasseur;Agroalimentaire;Production;→ Fiche métier;Opérationnel;;;ENFJ;Nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Nécessaire;E;N;F;J;Le brasseur fabrique de la bière artisanale ou industrielle en gérant les recettes, la fermentation et le contrôle qualité.;CAP à Bac+5 (brasserie, agroalimentaire);1 800€ → 3 500€/mois;;;Oui;;;Oui;Oui;Oui;;A1413;;
Charcutier traiteur;Agroalimentaire;Distribution;→ Fiche métier;Entrepreneur - Profession libérale;CAP Charcutier-traiteur (2 ans);;ISTJ;Nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;Absolument nécessaire;I;S;T;J;Ce professionnel de l'agroalimentaire intervient dans la production, le contrôle qualité ou la commercialisation de produits alimentaires.;CAP à Bac+5 selon le poste;1 700€ → 4 500€/mois;;;;;;Oui;Oui;Oui;;D1103;;
Chef ou cheffe de rayon;Agroalimentaire;Distribution;→ Fiche métier;Manager - Responsable - Chef d'équipe;;;ESFJ;Nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Nécessaire;Nécessaire;Nécessaire;Absolument nécessaire;E;S;F;J;Le chef de rayon gère un secteur en grande surface : approvisionnement, mise en rayon, animation commerciale et management d'une équipe.;Bac+2 (BTS MCO) à Bac+3;2 200€ → 3 800€/mois;;Oui;;;Oui;;Oui;Oui;;D1507;;
Conducteur de ligne de fabrication;Agroalimentaire;Production;→ Fiche métier;Manager - Responsable - Chef d'équipe;;;ISTJ;Nécessaire;Peu nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;Absolument nécessaire;I;S;T;J;Le conducteur de ligne de fabrication pilote des machines automatisées dans une usine. Il surveille la production, effectue les réglages et assure la maintenance de premier niveau.;Bac Pro ou BTS industriel;1 800€ → 2 800€/mois;;;;;;Oui;Oui;Oui;Oui;H2507;;
Conducteur de machine de fabrication;Agroalimentaire;Achat - approvisionnement;→ Fiche métier;Opérationnel;;;ISTJ;Nécessaire;Peu nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;I;S;T;J;Ce professionnel de l'agroalimentaire intervient dans la production, le contrôle qualité ou la commercialisation de produits alimentaires.;CAP à Bac+5 selon le poste;1 700€ → 4 500€/mois;;Oui;;;;Oui;Oui;Oui;;H3302;;
Designer packaging;Agroalimentaire;Communication;→ Fiche métier;Opérationnel;;;ENFJ;Nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Nécessaire;E;N;F;J;Ce professionnel de l'agroalimentaire intervient dans la production, le contrôle qualité ou la commercialisation de produits alimentaires.;CAP à Bac+5 selon le poste;1 700€ → 4 500€/mois;;Oui;Oui;;;Oui;;Oui;;H1204;;
Fromager;Agroalimentaire;Production;→ Fiche métier;Entrepreneur - Profession libérale;;;ESFJ;Nécessaire;Peu nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;E;S;F;J;Le fromager affine et commercialise des fromages. Il conseille les clients et gère la conservation des produits.;CAP Fromager à BTS;1 700€ → 2 800€/mois;;;;Oui;;Oui;Oui;Oui;;A1412;;
Gestionnaire de stock;"Agroalimentaire ; Administration ; Commerce ; Banque - finance ; Industrie ; Informatique - numérique - digital";Approvisionnement;→ Fiche métier;Opérationnel;;;ESFJ;Nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Nécessaire;Peu nécessaire;Nécessaire;Absolument nécessaire;E;S;F;J;Ce professionnel de l'agroalimentaire intervient dans la production, le contrôle qualité ou la commercialisation de produits alimentaires.;CAP à Bac+5 selon le poste;1 700€ → 4 500€/mois;;Oui;;;Oui;;;Oui;Oui;M1212;;
Ingénieur nutritionniste;Agroalimentaire;Conception gastronomique;→ Fiche métier;Opérationnel;;;ENTJ;Nécessaire;Absolument nécessaire;Nécessaire;Peu nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Nécessaire;E;N;T;J;L'ingénieur spécialisé en conception gastronomique conçoit, développe et optimise des solutions techniques dans son domaine d'expertise. Il gère des projets et coordonne des équipes.;Bac+5 (école d'ingénieurs);3 000€ → 6 000€/mois;;Oui;Oui;;;;;Oui;;;;
Livreur;Agroalimentaire;Transport;→ Fiche métier;Entrepreneur - Profession libérale;;;ESFJ;Nécessaire;Peu nécessaire;Nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Absolument nécessaire;E;S;F;J;Le livreur assure la livraison de colis, repas ou marchandises à domicile ou en point de collecte. Il optimise ses tournées et veille à la satisfaction des destinataires.;Permis B (et permis C selon la catégorie);1 600€ → 2 200€/mois;;Oui;;;;Oui;Oui;;Oui;N4105;;
Opérateur de fabrication;Agroalimentaire;Production;→ Fiche métier;Opérationnel;;;ISTJ;Nécessaire;Peu nécessaire;Absolument nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;Absolument nécessaire;I;S;T;J;L'agent ou opérateur spécialisé en production réalise des opérations techniques ou administratives spécifiques à son secteur d'activité.;CAP à Bac+2 selon spécialité;1 600€ → 2 800€/mois;;;;;;Oui;;Oui;Oui;H2507;;
poissonnière;Agroalimentaire;Distribution;→ Fiche métier;Entrepreneur - Profession libérale;Bac pro Poissonnier-écailler-traiteur;;ESFJ;Nécessaire;Peu nécessaire;Nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;E;S;F;J;Ce professionnel de l'agroalimentaire intervient dans la production, le contrôle qualité ou la commercialisation de produits alimentaires.;CAP à Bac+5 selon le poste;1 700€ → 4 500€/mois;;;;;;Oui;Oui;Oui;;D1105;;
Responsable commercial agroalimentaire;"Agroalimentaire ; Commerce";Commercial;→ Fiche métier;Manager - Responsable - Chef d'équipe;BAC+5 Spécialisation agroalimentaire - bachelor responsable commercial agroalimentaire;;ENFJ;Absolument nécessaire;Nécessaire;Nécessaire;Nécessaire;Absolument nécessaire;Nécessaire;Absolument nécessaire;Nécessaire;E;N;F;J;Le responsable commercial agroalimentaire développe les ventes de produits alimentaires auprès de la grande distribution ou des professionnels. Il manage une équipe commerciale et pilote les résultats.;Bac+3 à Bac+5 (commerce, agroalimentaire);3 500€ → 6 000€/mois;;Oui;;;Oui;;;Oui;;M1707;;
Responsable d'atelier de fabrication;"Agroalimentaire ; Industrie";Production;→ Fiche métier;Manager - Responsable - Chef d'équipe;;;ESFJ;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Absolument nécessaire;Absolument nécessaire;E;S;F;J;Le responsable d'atelier de fabrication manage les équipes de production, optimise les process et garantit les objectifs de quantité, qualité et sécurité. Il pilote les indicateurs de performance.;Bac+2 à Bac+3 (production agroalimentaire, ingénierie);3 000€ → 5 000€/mois;;Oui;;;Oui;;;Oui;;H2507;;
Responsable de maintenance;"Agroalimentaire ; Industrie ; Énergie";Installation et/ou maintenance;→ Fiche métier;Manager - Responsable - Chef d'équipe;;;ISFJ;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Nécessaire;Absolument nécessaire;Absolument nécessaire;I;S;F;J;Le responsable de maintenance pilote les opérations de maintenance préventive et corrective d'un site industriel. Il manage l'équipe technique, gère le budget et optimise la disponibilité des équipements.;Bac+3 à Bac+5 (maintenance, ingénierie);3 500€ → 6 000€/mois;;Oui;;;Oui;;;Oui;;I1326;;
